"","WDIR","WSPD","Salinity","SST","Mean_Temp","Total_Rain","year","epiweek","Number of norovirus outbreaks"
"1","S",2.65,28.39,7.78,2.37,1,"2003",2,11
"2","S",2.76,28.6,7.64,4.1,1.56,"2003",3,7
"3","E",4.86,29.47,7.8,6.96,11.91,"2003",4,2
"4","S",5.64,29.4,7.79,7.46,3.4,"2003",5,6
"5","W",2.74,29.07,7.64,2.57,0.1,"2003",6,3
"6","S",2.75,28.51,7.35,3.81,0.51,"2003",7,12
"7","S",5.41,29.63,8.09,5.4,0.69,"2003",8,6
"8","W",2.64,29.11,7.98,2.4,0.69,"2003",9,4
"9","W",3.65,29.06,7.97,4.3,0.64,"2003",10,6
"10","S",9.04,29.79,8.1,7.01,6.09,"2003",12,0
"11","E",5.62,28.37,8.42,6.09,1.5,"2003",13,1
"12","S",5.45,28.94,8.54,5.74,2.54,"2003",14,3
"13","S",7.53,28.2,8.44,8.34,6.4,"2003",15,3
"14","S",6.13,27.34,9.23,7.63,2.44,"2003",16,1
"15","S",4.98,27.09,9.61,8.03,2.23,"2003",17,1
"16","W",3.28,28.04,11.24,9.77,0.93,"2003",18,1
"17","W",4.04,27.64,11.66,8.94,1.27,"2003",19,0
"18","W",4.21,28.13,12.44,9.13,1.27,"2003",20,0
"19","S",4.75,28.27,12.46,11.63,2.4,"2003",21,0
"20","S",4.02,28.64,12.89,13.5,0.16,"2003",22,1
"21","W",5.17,27.74,14.27,16.33,0.06,"2003",23,1
"22","W",3.95,27.87,14.98,15.03,0.11,"2003",25,0
"23","W",4.35,28.54,14.31,13.94,1.33,"2003",37,0
"24","W",5.47,28.56,14.28,12.49,0.83,"2003",38,0
"25","W",2.89,28.79,13.66,13.07,0,"2003",39,3
"26","S",2.05,28.31,14.22,13.31,0,"2003",40,1
"27","S",6.85,29.53,12.19,11.2,10.64,"2003",41,1
"28","S",4.23,28.39,11.39,11.21,4.2,"2003",43,1
"29","W",4.84,27.73,10.82,5.89,0.06,"2003",44,0
"30","W",3.18,28.21,9.02,1.11,0,"2003",45,0
"31","W",3.67,28.2,8.77,4.39,0.7,"2003",46,3
"32","S",5.35,28.83,8.87,3.26,5.71,"2003",47,3
"33","S",7.41,29.2,8.85,3.74,6.37,"2003",48,1
"34","S",4.76,27.91,8.61,3.11,4.17,"2003",50,1
"35","S",6.39,28.46,7.99,4.1,6.91,"2003",51,2
"36","S",7.39,29.06,8,3.41,2.76,"2003",52,2
"37","W",5.8,28.85,7.81,-0.68,0.75,"2003",53,4
"38","S",5.24,28.41,7.02,3.2,2.81,"2004",5,1
"39","S",2.26,28.39,6.82,3.27,1.57,"2004",6,6
"40","S",3.83,28,7.32,5.19,3.33,"2004",7,6
"41","S",3.03,26.21,7.42,6.07,2.77,"2004",8,8
"42","S",5.37,27.71,7.89,4.73,2.16,"2004",9,4
"43","W",4.96,28.6,8.08,6.57,0.57,"2004",10,3
"44","W",4.6,29,8.41,6.63,1.77,"2004",11,4
"45","S",5.62,27.99,8.43,7.1,4.07,"2004",12,6
"46","S",3.38,27.59,8.8,7.57,0.09,"2004",13,6
"47","W",3.52,28.19,10.22,8.06,0.06,"2004",14,1
"48","S",3.26,28.61,10.67,8.3,3.03,"2004",15,2
"49","S",5.59,28.33,10.62,9.17,3.7,"2004",16,4
"50","W",4.02,27.41,12.3,11.56,0.34,"2004",17,4
"51","S",3.33,28.6,12.65,11.41,0.71,"2004",18,3
"52","W",4.15,28.99,13.47,12.03,0.4,"2004",19,4
"53","W",4.54,28.36,14.68,13.79,0.06,"2004",20,2
"54","W",4.8,28.87,15.41,13.03,0.9,"2004",21,3
"55","W",3.58,28.53,17.43,19.51,0,"2004",32,0
"56","S",4.23,28.19,14.22,12.06,8.43,"2004",37,3
"57","W",3.29,28.46,13.68,11.94,0.09,"2004",38,1
"58","S",5.27,28.36,12.54,10.49,4.83,"2004",40,1
"59","W",4.07,27.11,12.13,12.97,2.21,"2004",41,2
"60","W",4.95,28.27,11.62,7.36,6.57,"2004",42,0
"61","S",6.33,28.31,10.49,7.23,5.01,"2004",43,0
"62","S",6.3,28.4,10.19,5.8,8.9,"2004",44,1
"63","S",3.34,28.14,10.41,7.87,1.8,"2004",45,3
"64","S",8.2,28.46,9.81,6.53,6.26,"2004",46,3
"65","S",4.08,28.07,9.37,6.1,1.99,"2004",47,8
"66","E",5.34,28.63,8.86,3.97,6.81,"2004",48,3
"67","S",6.83,28.5,8.96,4.41,8.53,"2004",49,5
"68","E",3.45,27.64,8.76,5.69,4.31,"2004",50,4
"69","W",4.42,28.1,8.05,4.94,1.29,"2004",51,9
"70","W",3.46,27.8,7.76,3.62,4.97,"2004",52,7
"71","W",4,28.79,6.76,-1.67,0.14,"2005",1,13
"72","W",5.19,29.07,6.53,-4.34,0,"2005",2,6
"73","S",6.27,27.81,7.51,4.96,20.79,"2005",3,15
"74","S",4.58,27.4,8.3,7.11,2.89,"2005",4,13
"75","S",7.07,27.73,8.03,6.94,3.04,"2005",5,9
"76","S",4.15,26.91,7.02,2.79,0.69,"2005",6,8
"77","W",3.87,26.66,6.86,1.67,0.46,"2005",7,7
"78","W",2.22,26.91,6.94,2.89,0,"2005",8,12
"79","S",5.47,28.16,8.07,6.4,1.31,"2005",9,14
"80","S",3.57,28.71,8.85,8.41,1.64,"2005",10,5
"81","S",4.48,28.13,8.96,6.3,6.4,"2005",11,8
"82","S",5.78,28.41,8.77,6.04,3.84,"2005",12,6
"83","S",7.26,28.7,8.89,6.63,3.53,"2005",13,6
"84","W",7.15,27.76,8.97,7.27,1.74,"2005",14,3
"85","S",8.51,28.36,9.23,6.21,4.1,"2005",15,2
"86","W",3.64,27.63,10.54,11.09,0.4,"2005",16,2
"87","W",3.53,28.06,12.78,12.27,2,"2005",18,0
"88","S",4.55,28.31,13.4,13.51,2.09,"2005",19,0
"89","S",7.29,28.56,12.48,11.89,6.41,"2005",20,0
"90","W",4.7,26.79,13.93,14.76,2.76,"2005",21,0
"91","W",4.43,26.81,14.62,14.84,1.33,"2005",22,1
"92","S",3.69,27.53,14.15,12.7,2.54,"2005",23,2
"93","S",4.74,25.97,14.25,13.7,1.97,"2005",24,1
"94","W",2.69,28.3,15.25,13.53,1.89,"2005",37,0
"95","W",4.64,28.59,14.46,10.56,0.31,"2005",38,1
"96","W",4.25,28.64,12.95,10.59,2.79,"2005",39,1
"97","S",4.66,29.34,11.14,9.7,1.44,"2005",40,1
"98","S",5.78,29.67,11.44,10.26,6.46,"2005",41,1
"99","S",3.55,29.1,11.33,10.37,3.79,"2005",42,0
"100","S",6.66,28.56,10.27,7.49,6.11,"2005",44,0
"101","S",7.28,28.31,9.82,5.96,4.29,"2005",45,2
"102","W",3.86,28.01,9.21,5.51,2.41,"2005",46,1
"103","W",3.75,27.86,8.87,5.26,1.03,"2005",47,2
"104","W",4.28,28.26,8.24,0.64,0.26,"2005",48,3
"105","S",2.62,28.49,7.35,2.61,0.17,"2005",49,1
"106","W",2.45,28.33,7.52,1.44,0,"2005",50,5
"107","S",6.75,28.43,7.65,7.34,15.4,"2005",51,4
"108","S",8.89,28.52,8.44,6.8,8.46,"2005",52,3
"109","S",8.35,27.86,8.4,5.9,10.6,"2006",1,4
"110","S",5.87,27.61,8.18,4.49,7.17,"2006",3,5
"111","S",6.83,28.17,8.29,5.27,4.14,"2006",4,8
"112","W",3.34,24.64,7.9,3.63,0.34,"2006",6,5
"113","W",5.56,27.39,7.48,1.99,0.63,"2006",7,2
"114","W",3.47,27.07,6.88,1.11,0.86,"2006",8,5
"115","S",5.72,27.5,7.21,4.41,4.79,"2006",9,7
"116","S",5.95,28.16,7.35,4.64,4.36,"2006",10,3
"117","S",6.77,27.97,7.56,4.21,1.41,"2006",11,10
"118","S",6.32,28.13,7.74,6.31,3.86,"2006",12,7
"119","S",4.32,28.09,8.11,6.74,2.64,"2006",13,8
"120","S",3.79,27.46,8.78,7.8,0.61,"2006",14,11
"121","S",4.97,28.41,9.15,8.24,3.63,"2006",15,6
"122","S",7.46,28.53,8.56,6.87,2.57,"2006",16,15
"123","W",4.16,28.26,9.47,9.79,0.49,"2006",17,15
"124","W",4.52,27.54,9.92,9.7,0.54,"2006",18,9
"125","W",4.59,28.31,10.44,9.4,0.03,"2006",19,11
"126","S",5.83,28.73,13.03,13.41,5.09,"2006",21,13
"127","S",5.1,28.57,12.35,13.84,1.4,"2006",22,3
"128","W",4.54,28.59,14.25,13.24,0.46,"2006",37,6
"129","W",3.06,29.36,14.31,13.6,0,"2006",39,1
"130","W",4.93,28.04,13.33,9.21,0.83,"2006",40,4
"131","W",2.48,28.74,12.67,8.93,1.04,"2006",41,3
"132","S",4.23,29,11.32,9.56,2.6,"2006",42,2
"133","S",5.06,29.33,10.61,8.53,2.66,"2006",43,5
"134","W",4.75,29.36,9.86,4.77,11.71,"2006",44,2
"135","S",5.09,29.4,9.3,7.77,9.66,"2006",45,6
"136","S",6.85,28.31,8.91,3.81,6.77,"2006",47,4
"137","E",3.94,28.39,7.55,2.49,1.16,"2006",49,8
"138","S",7.48,27.89,8.14,2.01,5.81,"2006",52,10
"139","S",5.29,28.1,6.5,1.49,2.77,"2007",3,8
"140","E",6.08,27.63,7.31,4.07,2.11,"2007",4,12
"141","S",1.61,26.74,6.94,-0.11,1.03,"2007",5,9
"142","S",2.86,27.87,6.82,6,3.41,"2007",6,9
"143","E",5.86,28.1,7.01,6.43,2.8,"2007",7,18
"144","E",6.61,28.91,7.72,5.17,1.94,"2007",8,11
"145","S",6.41,28.29,7.04,2.99,3.16,"2007",9,8
"146","E",7.6,28.66,7.24,7.8,7,"2007",10,14
"147","S",6.75,28.59,7.52,7.13,5.94,"2007",11,1
"148","E",7.52,28.64,7.62,8,3.1,"2007",12,6
"149","S",6.46,27.87,7.88,6.09,0.16,"2007",13,9
"150","W",3.4,27.97,8.13,6.71,0.69,"2007",14,4
"151","W",4.32,27.84,8.78,6.81,1.71,"2007",16,11
"152","W",5.35,27.34,9.59,8.96,2.89,"2007",18,4
"153","S",3.13,27.06,12.92,12.39,0.06,"2007",21,2
"154","S",3.15,25.59,14.36,14.64,0,"2007",22,5
"155","S",5.66,27.84,12.94,10.33,4.83,"2007",39,0
"156","S",4.69,28.84,10.39,10.03,2.84,"2007",41,2
"157","E",6.43,28.56,10.23,8.99,5.69,"2007",42,2
"158","S",6.58,28.5,10.3,8.6,1.33,"2007",43,0
"159","S",4.97,28.2,9.85,6.49,0.94,"2007",44,3
"160","S",5.26,28.1,9.69,8.47,5.69,"2007",45,1
"161","S",7.8,26.69,9.4,6.64,12.57,"2007",46,1
"162","S",4.37,28.03,8.25,0.94,1.77,"2007",48,2
"163","W",5.54,26.71,7.59,3.53,10.84,"2007",49,4
"164","S",4.79,27.61,7.56,2.9,2.46,"2007",50,10
"165","S",8.98,28.73,7.94,2.94,9.66,"2007",51,13
"166","E",10.92,28.76,7.09,4.58,13.82,"2008",1,11
"167","S",7.71,28.74,7.08,2.89,6.29,"2008",2,6
"168","S",5.62,28.4,7.05,2.73,3.86,"2008",3,9
"169","W",4.29,28.59,6.5,-0.19,0,"2008",4,13
"170","S",4.19,28.77,6.41,1.1,0.51,"2008",5,12
"171","S",6.04,28.67,6.4,3.37,3.6,"2008",6,15
"172","S",4.44,29.07,7.28,4.49,0.93,"2008",10,7
"173","S",4.97,27.73,7.39,6.21,4.17,"2008",11,5
"174","S",6.41,28.79,7.55,4.64,1.1,"2008",12,5
"175","S",6.17,29.69,7.34,4.33,1.96,"2008",13,6
"176","W",4.35,29.31,7.5,4.04,1.34,"2008",14,10
"177","S",4.9,29.43,7.57,6.64,2.91,"2008",15,6
"178","W",4.89,29.17,8.73,6.94,0.19,"2008",16,9
"179","S",3.7,29.1,8.71,5.46,0.04,"2008",17,6
"180","W",5.02,29.56,9.63,9.46,0.4,"2008",19,3
"181","S",3.76,28.83,10.68,12.5,1.01,"2008",20,1
"182","W",5.81,29.31,11.96,14.34,0.19,"2008",21,1
"183","S",2.93,28.84,13.24,14.27,0.36,"2008",22,1
"184","W",5.36,27.99,15.41,14.27,0,"2008",37,2
"185","W",2.69,27.43,14.88,13.87,0.39,"2008",38,0
"186","S",4.62,27.46,13.23,12.3,2.64,"2008",39,0
"187","W",5.2,28.63,11.04,7.49,1.47,"2008",41,1
"188","S",5.16,28.33,10.7,8,4.49,"2008",42,0
"189","W",4.69,28.63,10.39,7.39,1.04,"2008",43,1
"190","S",4.74,28.96,10.08,8.5,3.14,"2008",44,1
"191","S",6.72,28.91,9.66,8.27,9.73,"2008",45,3
"192","S",6.04,27.81,9.72,8.11,2.09,"2008",46,2
"193","S",4.59,28.53,9.67,5.86,2.8,"2008",47,3
"194","S",4.77,28.6,8.87,4.71,2.29,"2008",48,5
"195","S",6.1,29.99,8.18,7.87,1.27,"2009",15,7
"196","W",5.66,29.91,8.98,9.76,0.03,"2009",16,2
"197","W",3.73,29.84,10.02,8.66,0.46,"2009",17,3
"198","S",5.54,29.99,10.18,10.67,4.91,"2009",18,2
"199","S",3.62,29.3,10.98,9.3,3.14,"2009",19,2
"200","W",3.92,28.84,12.8,11.2,0.41,"2009",20,1
"201","W",4.02,29.09,13.35,14.01,0.31,"2009",21,3
"202","S",4.88,27.54,15.24,16.3,1,"2009",37,1
"203","W",3.6,27.77,14.99,13.3,0,"2009",38,0
"204","W",5.2,28.43,13.04,9.4,4.69,"2009",39,0
"205","W",3.94,28.87,12.13,9.47,0.01,"2009",40,1
"206","S",4.39,28.97,11.02,9.7,8.74,"2009",41,0
"207","S",4.61,29.01,10.73,10.36,1.84,"2009",42,0
"208","S",6.96,29.4,9.96,8.26,8.49,"2009",43,0
"209","S",5.9,29.37,9.55,7.43,7.47,"2009",44,0
"210","S",7.65,29.57,9.35,5.13,6.97,"2009",45,0
"211","S",7.32,28.37,8.93,6.84,4.3,"2009",47,0
"212","S",6.2,27.74,7.65,5.84,6.56,"2010",6,7
"213","S",3.26,27.13,7.72,5.3,1.46,"2010",7,5
"214","S",4.24,27.34,8.22,5.73,5.81,"2010",8,4
"215","S",6.25,27.9,7.82,5.96,5.3,"2010",14,2
"216","W",3.59,27.66,9.34,8.84,0.29,"2010",15,5
"217","S",5.71,27.36,9.87,9.24,3.01,"2010",16,6
"218","S",4.26,28,9.87,9.66,1.94,"2010",17,1
"219","W",4.78,26.84,9.86,7.99,1.53,"2010",18,6
"220","W",3.79,27.84,12.03,11.01,0,"2010",19,4
"221","S",5.79,29.17,7.04,3.93,5.83,"2011",6,5
"222","S",7.17,28.81,6.9,3.16,6.8,"2011",7,5
"223","W",4.89,28.57,6.34,-0.96,0.2,"2011",8,3
"224","S",8.36,29.34,6.5,2.4,7.49,"2011",9,5
"225","S",7.32,29.33,6.91,5.14,10.7,"2011",10,5
"226","S",8.13,29.73,7,6.31,11.5,"2011",11,5
